id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
syn_52,This is idiotic.!!,1,0,0,0,0,0
syn_53,You are so dumb and clueless. Read the rules.,1,0,0,0,0,0
syn_54,We need to follow community guidelines.!!,0,0,0,0,0,0
syn_55,Appreciate the clarification. 🤬 End of story.!!,0,0,0,0,0,0
syn_56,Your logic is laughable. You're kidding.,1,0,0,0,0,0
syn_57,What a disgraceful comment.,1,0,0,0,1,0
syn_58,I completely disagree with your point. Got it?,0,0,0,0,0,0
syn_59,That's a strong claim without evidence.!!!,0,0,0,0,0,0
syn_60,You're the worst on this thread.— seriously..,1,0,0,0,0,0
syn_61,Appreciate the clarification.,0,0,0,0,0,0
syn_62,"Interesting idea, let's test it. 🤬!!!",0,0,0,0,0,0
syn_63,I think we should consider other perspectives.!!,0,0,0,0,0,0
syn_64,Please provide a reference...,0,0,0,0,0,0
syn_65,I think we should consider other perspectives.,0,0,0,0,0,0
syn_66,This is not accurate according to the report.!!,0,0,0,0,0,0
syn_67,Thanks for sharing the update.?!,0,0,0,0,0,0
syn_68,Thanks for sharing the update.!!,0,0,0,0,0,0
syn_69,Only a fool would think that. That was a bull**** response.,1,0,1,0,1,0
syn_70,Your logic is laughable.!!!,1,0,0,0,0,0
syn_71,"Interesting idea, let's test it.!!",0,0,0,0,0,0
syn_72,Please provide a reference...,0,0,0,0,0,0
syn_73,Please provide a reference. 🙄 Read the rules....,0,0,0,0,0,0
syn_74,You're a **** idiot.,1,0,1,0,0,0
syn_75,Th4t'5 4 5tr0ng cl41m w1th0ut 3v1d3nc3.,0,0,0,0,0,0
syn_76,Thanks for sharing the update. 😂,0,0,0,0,0,0
syn_77,Th4t w45 4 bull**** r35p0n53.,1,0,1,0,0,0
syn_78,Appreciate the clarification.!!,0,0,0,0,0,0
syn_79,I completely disagree with your point. You're kidding..,0,0,0,0,0,0
syn_80,Please provide a reference. 😂,0,0,0,0,0,0
syn_81,Shut up already. 😡,1,0,0,0,0,0
syn_82,I think we should consider other perspectives....,0,0,0,0,0,0
syn_83,This is not accurate according to the report..,0,0,0,0,0,0
syn_84,That was a bull**** response.,1,0,1,0,0,0
syn_85,This is not accurate according to the report..,0,0,0,0,0,0
syn_86,What the **** are you saying?...,0,0,1,0,0,0
syn_87,Th4nk5 f0r 5h4r1ng th3 upd4t3. 😤 End of story.!,0,0,0,0,0,0
syn_88,Y0u 4r3 50 dumb 4nd clu3l355. 🤬,1,0,0,0,0,0
syn_89,Thanks for sharing the update.,0,0,0,0,0,0
syn_90,Please provide a reference. 🤬!!,0,0,0,0,0,0
syn_91,I th1nk w3 5h0uld c0n51d3r 0th3r p3r5p3ct1v35. 😤...,0,0,0,0,0,0
syn_92,We need to follow community guidelines.— seriously.,0,0,0,0,0,0
syn_93,This is idiotic. 🤬...,1,0,0,0,0,0
syn_94,Thanks for sharing the update. End of story...,0,0,0,0,0,0
syn_95,Stop spreading nonsense.,1,0,0,0,0,0
syn_96,We need to follow community guidelines. 😡!,0,0,0,0,0,0
syn_97,This is idiotic.,1,0,0,0,0,0
syn_98,That was a bull**** response.,1,0,1,0,0,0
syn_99,I think we should consider other perspectives.!!,0,0,0,0,0,0
syn_100,I completely disagree with your point.,0,0,0,0,0,0
syn_101,This is not accurate according to the report.,0,0,0,0,0,0
syn_102,Please provide a reference. 🤬,0,0,0,0,0,0
syn_103,These kids always ruin discussions.,1,0,0,0,0,1
syn_104,Such a crybaby.,1,0,0,0,1,0
syn_105,Appreciate the clarification. 😂?!,0,0,0,0,0,0
syn_106,Appreciate the clarification. You're kidding.,0,0,0,0,0,0
syn_107,That's a strong claim without evidence.,0,0,0,0,0,0
syn_108,I completely disagree with your point.?!,0,0,0,0,0,0
syn_109,Please provide a reference.,0,0,0,0,0,0
syn_110,Appreciate the clarification. 🤬,0,0,0,0,0,0
syn_111,I completely disagree with your point.,0,0,0,0,0,0
syn_112,This is not accurate according to the report.,0,0,0,0,0,0
syn_113,doctors should not be allowed to decide this. Read the rules.,1,0,0,0,0,1
syn_114,I think we should consider other perspectives.,0,0,0,0,0,0
syn_115,Appreciate the clarification. You're kidding.!!!,0,0,0,0,0,0
syn_116,That's a strong claim without evidence. 😡.,0,0,0,0,0,0
syn_117,Shut up already.,1,0,0,0,0,0
syn_118,You're a **** idiot.,0,0,1,0,0,0
syn_119,"Interesting idea, let's test it.",0,0,0,0,0,0
syn_120,Can you elaborate on this issue?,0,0,0,0,0,0
syn_121,"Interesting idea, let's test it.!",0,0,0,0,0,0
syn_122,This is not accurate according to the report. Got it?,0,0,0,0,0,0
syn_123,This is **** ridiculous. Be respectful.!!!,1,0,1,0,0,0
syn_124,What a pathetic comment. Enough already.,1,0,0,0,0,0
syn_125,Y0u 4r3 50 dumb 4nd clu3l355. 😡 Be respectful.,1,0,0,0,0,0
syn_126,Can you elaborate on this issue?!,0,0,0,0,0,0
syn_127,This take is garbage.,1,0,0,0,0,0
syn_128,"Interesting idea, let's test it.",0,0,0,0,0,0
syn_129,I think we should consider other perspectives.!!,0,0,0,0,0,0
syn_130,Please provide a reference.,0,0,0,0,0,0
syn_131,This is **** ridiculous. Period.,1,0,1,0,0,0
syn_132,"Interesting idea, let's test it.",0,0,0,0,0,0
syn_133,What a disgraceful comment.!,1,0,0,0,1,0
syn_134,W3 n33d t0 f0ll0w c0mmun1ty gu1d3l1n35.!,0,0,0,0,0,0
syn_135,"Interesting idea, let's test it.",0,0,0,0,0,0
syn_136,What the **** are you saying? 🤬,1,0,1,0,0,0
syn_137,"Interesting idea, let's test it.",0,0,0,0,0,0
syn_138,Stop spreading nonsense. 😡 This again??!,1,0,0,0,0,0
syn_139,This is not accurate according to the report. 😤,0,0,0,0,0,0
syn_140,Please provide a reference. 🙄,0,0,0,0,0,0
syn_141,That was a bull**** response.,1,0,1,0,0,0
syn_142,This is **** ridiculous. 😡.,0,0,1,0,0,0
syn_143,Can you elaborate on this issue?,0,0,0,0,0,0
syn_144,"Interesting idea, let's test it.",0,0,0,0,0,0
syn_145,"Interesting idea, let's test it.",0,0,0,0,0,0
syn_146,This is not accurate according to the report.!,0,0,0,0,0,0
syn_147,What a disgraceful comment....,0,0,0,0,1,0
syn_148,Those students never learn. 😂,1,0,0,0,0,1
syn_149,Please provide a reference. 🤬..,0,0,0,0,0,0
syn_150,I think we should consider other perspectives. 😂 End of story.,0,0,0,0,0,0
syn_151,"Interesting idea, let's test it...",0,0,0,0,0,0
syn_152,Can you elaborate on this issue?...,0,0,0,0,0,0
syn_153,What a disgraceful comment...,0,0,0,0,1,0
syn_154,Thanks for sharing the update. Got it?,0,0,0,0,0,0
syn_155,Th15 15 n0t 4ccur4t3 4cc0rd1ng t0 th3 r3p0rt. 😤 Read the rules.,0,0,0,0,0,0
syn_156,You're clueless and incompetent...,0,0,0,0,1,0
syn_157,I th1nk w3 5h0uld c0n51d3r 0th3r p3r5p3ct1v35. Be respectful.,0,0,0,0,0,0
syn_158,Please provide a reference. 🤬!!!,0,0,0,0,0,0
syn_159,This is idiotic. 😂!!,1,0,0,0,0,0
syn_160,Your logic is laughable.,1,0,0,0,0,0
syn_161,We need to follow community guidelines. Got it?.,0,0,0,0,0,0
syn_162,Shut up already.,1,0,0,0,0,0
syn_163,I will find you and report you.!!!,1,0,0,1,0,0
syn_164,Stop spreading nonsense. This again?,1,0,0,0,0,0
syn_165,That was a bull**** response. 😂 You're kidding....,0,0,1,0,0,0
syn_166,This is not accurate according to the report. 😤,0,0,0,0,0,0
syn_167,I completely disagree with your point.,0,0,0,0,0,0
syn_168,I completely disagree with your point.,0,0,0,0,0,0
syn_169,I think we should consider other perspectives.,0,0,0,0,0,0
syn_170,Appreciate the clarification. 🙄,0,0,0,0,0,0
syn_171,Can you elaborate on this issue? You're kidding.?!,0,0,0,0,0,0
syn_172,We need to follow community guidelines. This again?...,0,0,0,0,0,0
syn_173,"Interesting idea, let's test it. 🙂",0,0,0,0,0,0
syn_174,You're a **** idiot.,1,0,1,0,0,0
syn_175,Get the **** out of here. 😡!!,0,0,1,0,0,0
syn_176,What a disgraceful comment.,0,0,0,0,1,0
syn_177,Watch your back. 😡...,0,0,0,1,0,0
syn_178,This is not accurate according to the report.,0,0,0,0,0,0
syn_179,You sound completely uneducated.,0,0,0,0,1,0
syn_180,Such a crybaby. 🙄...,1,0,0,0,1,0
syn_181,Appreciate the clarification.!,0,0,0,0,0,0
syn_182,Can you elaborate on this issue?...,0,0,0,0,0,0
syn_183,Stop spreading nonsense. Enough already..,1,0,0,0,0,0
syn_184,Thanks for sharing the update.,0,0,0,0,0,0
syn_185,Please provide a reference.,0,0,0,0,0,0
syn_186,That was a bull**** response. You don't deserve to be here.!!!,1,1,1,0,0,0
syn_187,Your logic is laughable. Period...,1,0,0,0,0,0
syn_188,What a disgraceful comment. 🤬!!,0,0,0,0,1,0
syn_189,What a disgraceful comment..,1,0,0,0,1,0
syn_190,What a disgraceful comment...,1,0,0,0,1,0
syn_191,I hate everything you say and stand for. You're kidding.,1,1,0,0,0,0
syn_192,"Interesting idea, let's test it.",0,0,0,0,0,0
syn_193,Wh4t 4 d15gr4c3ful c0mm3nt. End of story.!,0,0,0,0,1,0
syn_194,I think we should consider other perspectives. 😂,0,0,0,0,0,0
syn_195,Y0u'r3 4n 4b50lut3 d15gr4c3 t0 hum4n1ty.!!,1,1,0,0,0,0
syn_196,Please provide a reference. End of story.,0,0,0,0,0,0
syn_197,"Get lost, nobody cares. 😡!!",1,0,0,0,0,0
syn_198,Those developers never learn. Got it?!,0,0,0,0,0,1
syn_199,What a disgraceful comment. 🙂!,0,0,0,0,1,0
syn_200,That's a strong claim without evidence..,0,0,0,0,0,0
syn_201,Thanks for sharing the update. Read the rules.!!,0,0,0,0,0,0
syn_202,Th4nk5 f0r 5h4r1ng th3 upd4t3....,0,0,0,0,0,0
syn_203,This take is garbage. 🙂!!!,1,0,0,0,0,0
syn_204,Please provide a reference....,0,0,0,0,0,0
syn_205,I can't stand those doctors.,1,0,0,0,0,1
syn_206,"Interesting idea, let's test it.?!",0,0,0,0,0,0
syn_207,Please provide a reference.,0,0,0,0,0,0
syn_208,Please provide a reference.!!!,0,0,0,0,0,0
syn_209,W3 n33d t0 f0ll0w c0mmun1ty gu1d3l1n35.,0,0,0,0,0,0
syn_210,I think we should consider other perspectives.,0,0,0,0,0,0
syn_211,You make me sick; just disappear.,1,1,0,0,0,0
syn_212,This is not accurate according to the report. 😤!,0,0,0,0,0,0
syn_213,This is not accurate according to the report. 🙂 Period....,0,0,0,0,0,0
syn_214,We need to follow community guidelines.,0,0,0,0,0,0
syn_215,We need to follow community guidelines.,0,0,0,0,0,0
syn_216,"Interesting idea, let's test it.",0,0,0,0,0,0
syn_217,I completely disagree with your point.,0,0,0,0,0,0
syn_218,Thanks for sharing the update.,0,0,0,0,0,0
syn_219,This is **** ridiculous. 😤,0,0,1,0,0,0
syn_220,I completely disagree with your point.,0,0,0,0,0,0
syn_221,You don't deserve to be here....,1,1,0,0,0,0
syn_222,Such a crybaby.,0,0,0,0,1,0
syn_223,You're a **** idiot...,1,0,1,0,0,0
syn_224,Please provide a reference.,0,0,0,0,0,0
syn_225,"Get lost, nobody cares.— seriously.",1,0,0,0,0,0
syn_226,Wh4t 4 d15gr4c3ful c0mm3nt. Got it?!,0,0,0,0,1,0
syn_227,That was a bull**** response. Read the rules..,1,0,1,0,0,0
syn_228,"Ugh, just go away. 🙂",1,0,0,0,0,0
syn_229,Only 4 f00l w0uld th1nk th4t.,1,0,0,0,1,0
syn_230,That's a strong claim without evidence.!!,0,0,0,0,0,0
syn_231,This take is garbage. End of story....,1,0,0,0,0,0
syn_232,You're clueless and incompetent....,0,0,0,0,1,0
syn_233,This is not accurate according to the report.!!!,0,0,0,0,0,0
syn_234,That's a strong claim without evidence. 🤬.,0,0,0,0,0,0
syn_235,This is not accurate according to the report. This again?!!!,0,0,0,0,0,0
syn_236,Your logic is laughable. 🙄,1,0,0,0,0,0
syn_237,Appreciate the clarification. 😤,0,0,0,0,0,0
syn_238,I completely disagree with your point. You're kidding.!!,0,0,0,0,0,0
syn_239,We need to follow community guidelines.— seriously.,0,0,0,0,0,0
syn_240,Only a fool would think that....,1,0,0,0,1,0
syn_241,C4n y0u 3l4b0r4t3 0n th15 155u3?,0,0,0,0,0,0
syn_242,I think we should consider other perspectives.?!,0,0,0,0,0,0
syn_243,You're clueless and incompetent.— seriously.?!,1,0,0,0,1,0
syn_244,This is not accurate according to the report. 😡.,0,0,0,0,0,0
syn_245,You sound completely uneducated.,0,0,0,0,1,0
syn_246,That's a strong claim without evidence.,0,0,0,0,0,0
syn_247,We need to follow community guidelines.?!,0,0,0,0,0,0
syn_248,Please provide a reference.!!,0,0,0,0,0,0
syn_249,This is idiotic.,1,0,0,0,0,0
syn_250,You're clueless and incompetent.,1,0,0,0,1,0
syn_251,I think we should consider other perspectives. 😡!!!,0,0,0,0,0,0
syn_252,"Interesting idea, let's test it.",0,0,0,0,0,0
syn_253,This is not accurate according to the report.,0,0,0,0,0,0
syn_254,Th15 15 n0t 4ccur4t3 4cc0rd1ng t0 th3 r3p0rt.,0,0,0,0,0,0
syn_255,Can you elaborate on this issue? 😡...,0,0,0,0,0,0
syn_256,Can you elaborate on this issue? 🙄,0,0,0,0,0,0
syn_257,Watch your back. 🤬,1,0,0,1,0,0
syn_258,"Interesting idea, let's test it.",0,0,0,0,0,0
syn_259,You sound completely uneducated. 🙂 You're kidding....,1,0,0,0,1,0
syn_260,You don't deserve to be here. Read the rules..,1,1,0,0,0,0
syn_261,Can you elaborate on this issue?!!,0,0,0,0,0,0
syn_262,I think we should consider other perspectives.,0,0,0,0,0,0
syn_263,C4n y0u 3l4b0r4t3 0n th15 155u3?!!!,0,0,0,0,0,0
syn_264,"Interesting idea, let's test it. Got it?",0,0,0,0,0,0
syn_265,Thanks for sharing the update. 😤?!,0,0,0,0,0,0
syn_266,These doctors always ruin discussions.,1,0,0,0,0,1
syn_267,That's a strong claim without evidence....,0,0,0,0,0,0
syn_268,This is not accurate according to the report.,0,0,0,0,0,0
syn_269,This is idiotic. Be respectful..,1,0,0,0,0,0
syn_270,That's a strong claim without evidence....,0,0,0,0,0,0
syn_271,Appreciate the clarification.!!,0,0,0,0,0,0
syn_272,Y0u'r3 th3 w0r5t 0n th15 thr34d.,1,0,0,0,0,0
syn_273,Thanks for sharing the update. 🤬— seriously.!!,0,0,0,0,0,0
syn_274,Can you elaborate on this issue?,0,0,0,0,0,0
syn_275,You better stop or else. 🙂 Read the rules..,0,0,0,1,0,0
syn_276,Th15 15 n0t 4ccur4t3 4cc0rd1ng t0 th3 r3p0rt.!!,0,0,0,0,0,0
syn_277,You're a **** idiot. Be respectful.!!,1,0,1,0,0,0
syn_278,Appreciate the clarification.!,0,0,0,0,0,0
syn_279,You sound completely uneducated.!,1,0,0,0,1,0
syn_280,You're clueless and incompetent..,1,0,0,0,1,0
syn_281,This is not accurate according to the report.?!,0,0,0,0,0,0
syn_282,Such a crybaby..,1,0,0,0,1,0
syn_283,Appreciate the clarification.,0,0,0,0,0,0
syn_284,Shut up already.— seriously.,1,0,0,0,0,0
syn_285,Thanks for sharing the update. End of story.!!!,0,0,0,0,0,0
syn_286,We need to follow community guidelines....,0,0,0,0,0,0
syn_287,I completely disagree with your point.,0,0,0,0,0,0
syn_288,I completely disagree with your point. Period.,0,0,0,0,0,0
syn_289,I can't stand those engineers. 🙂,1,0,0,0,0,1
syn_290,I completely disagree with your point.— seriously.!,0,0,0,0,0,0
syn_291,"Interesting idea, let's test it.",0,0,0,0,0,0
syn_292,This is not accurate according to the report. 🙂,0,0,0,0,0,0
syn_293,Only a fool would think that. 🤬,1,0,0,0,1,0
syn_294,I think we should consider other perspectives.!!!,0,0,0,0,0,0
syn_295,Only a fool would think that. Enough already.?!,1,0,0,0,1,0
syn_296,I will find you and report you.,1,0,0,1,0,0
syn_297,This is not accurate according to the report. 🙂,0,0,0,0,0,0
syn_298,"Interesting idea, let's test it.",0,0,0,0,0,0
syn_299,W3 n33d t0 f0ll0w c0mmun1ty gu1d3l1n35.?!,0,0,0,0,0,0
syn_300,I completely disagree with your point. 🤬...,0,0,0,0,0,0
syn_301,This is not accurate according to the report.,0,0,0,0,0,0
syn_302,"Interesting idea, let's test it.?!",0,0,0,0,0,0
syn_303,We need to follow community guidelines. You're kidding.,0,0,0,0,0,0
syn_304,This is **** ridiculous. 😤,0,0,1,0,0,0
syn_305,Appreciate the clarification. This again??!,0,0,0,0,0,0
syn_306,Thanks for sharing the update. Enough already.,0,0,0,0,0,0
syn_307,You're clueless and incompetent.!,0,0,0,0,1,0
syn_308,Please provide a reference.!,0,0,0,0,0,0
syn_309,Please provide a reference. You're kidding..,0,0,0,0,0,0
syn_310,Please provide a reference. 😡,0,0,0,0,0,0
syn_311,Please provide a reference. 🙄,0,0,0,0,0,0
syn_312,Shut up already. 🙂..,1,0,0,0,0,0
syn_313,Your logic is laughable.,1,0,0,0,0,0
syn_314,We need to follow community guidelines.,0,0,0,0,0,0
syn_315,This is not accurate according to the report. 🤬.,0,0,0,0,0,0
syn_316,Can you elaborate on this issue?!!!,0,0,0,0,0,0
syn_317,That's a strong claim without evidence.,0,0,0,0,0,0
syn_318,Thanks for sharing the update.!!,0,0,0,0,0,0
syn_319,Y0u'r3 4n 4b50lut3 d15gr4c3 t0 hum4n1ty. 🤬 Be respectful.!!!,1,1,0,0,0,0
syn_320,Your logic is laughable.,1,0,0,0,0,0
syn_321,You sound completely uneducated.!,1,0,0,0,1,0
syn_322,Shut up already.,1,0,0,0,0,0
syn_323,Your logic is laughable.,1,0,0,0,0,0
syn_324,Those artists never learn.!,0,0,0,0,0,1
syn_325,This is idiotic.!!,1,0,0,0,0,0
syn_326,Get the **** out of here. 🤬!,0,0,1,0,0,0
syn_327,Your logic is laughable. 🤬..,1,0,0,0,0,0
syn_328,That's a strong claim without evidence.?!,0,0,0,0,0,0
syn_329,You're a **** idiot....,0,0,1,0,0,0
syn_330,You sound completely uneducated.?!,0,0,0,0,1,0
syn_331,I completely disagree with your point..,0,0,0,0,0,0
syn_332,Stop spreading nonsense. 🤬..,1,0,0,0,0,0
syn_333,This is not accurate according to the report. 😡.,0,0,0,0,0,0
syn_334,What a pathetic comment. Enough already.,1,0,0,0,0,0
syn_335,We need to follow community guidelines...,0,0,0,0,0,0
syn_336,Can you elaborate on this issue?,0,0,0,0,0,0
syn_337,Thanks for sharing the update. 🤬!!,0,0,0,0,0,0
syn_338,W3 n33d t0 f0ll0w c0mmun1ty gu1d3l1n35. Enough already..,0,0,0,0,0,0
syn_339,"Ugh, just go away. Be respectful.",1,0,0,0,0,0
syn_340,That's a strong claim without evidence. Period.,0,0,0,0,0,0
syn_341,This is idiotic.,1,0,0,0,0,0
syn_342,I completely disagree with your point.,0,0,0,0,0,0
syn_343,That's a strong claim without evidence...,0,0,0,0,0,0
syn_344,What the **** are you saying? 🙄,1,0,1,0,0,0
syn_345,Appreciate the clarification....,0,0,0,0,0,0
syn_346,You are so dumb and clueless.?!,1,0,0,0,0,0
syn_347,Such a crybaby. End of story.?!,0,0,0,0,1,0
syn_348,Stop spreading nonsense. 🙄— seriously.,1,0,0,0,0,0
syn_349,I can't stand those gamers.,0,0,0,0,0,1
syn_350,Thanks for sharing the update.,0,0,0,0,0,0
syn_351,You're the worst on this thread.?!,1,0,0,0,0,0
syn_352,I completely disagree with your point.,0,0,0,0,0,0
syn_353,gamers should not be allowed to decide this.,0,0,0,0,0,1
syn_354,"Get lost, nobody cares. 😤",1,0,0,0,0,0
syn_355,Appreciate the clarification.,0,0,0,0,0,0
syn_356,Appreciate the clarification. This again?,0,0,0,0,0,0
syn_357,Your logic is laughable..,1,0,0,0,0,0
syn_358,"Get lost, nobody cares.— seriously.!!",1,0,0,0,0,0
syn_359,I completely disagree with your point. 🤬,0,0,0,0,0,0
syn_360,I think we should consider other perspectives.,0,0,0,0,0,0
syn_361,This is not accurate according to the report.,0,0,0,0,0,0
syn_362,Thanks for sharing the update...,0,0,0,0,0,0
syn_363,I completely disagree with your point. 😂...,0,0,0,0,0,0
syn_364,I completely disagree with your point. 🤬 This again?,0,0,0,0,0,0
syn_365,What the **** are you saying? 😤,1,0,1,0,0,0
syn_366,Such a crybaby. 🙄 Read the rules.,1,0,0,0,1,0
syn_367,This is idiotic.,1,0,0,0,0,0
syn_368,Can you elaborate on this issue? 🤬 Be respectful.!!!,0,0,0,0,0,0
syn_369,Please provide a reference. Got it?,0,0,0,0,0,0
syn_370,That's a strong claim without evidence.?!,0,0,0,0,0,0
syn_371,This is not accurate according to the report.,0,0,0,0,0,0
syn_372,Please provide a reference.?!,0,0,0,0,0,0
syn_373,"Get lost, nobody cares. Read the rules.",1,0,0,0,0,0
syn_374,We need to follow community guidelines. 🙂?!,0,0,0,0,0,0
syn_375,We need to follow community guidelines. 🤬,0,0,0,0,0,0
syn_376,Appreciate the clarification. 🙂...,0,0,0,0,0,0
syn_377,"Ugh, just go away. This again?",1,0,0,0,0,0
syn_378,I think we should consider other perspectives.?!,0,0,0,0,0,0
syn_379,Thanks for sharing the update.,0,0,0,0,0,0
syn_380,That's a strong claim without evidence. This again?,0,0,0,0,0,0
syn_381,You don't deserve to be here. 🙂,1,1,0,0,0,0
syn_382,You're the worst on this thread.,1,0,0,0,0,0
syn_383,That's a strong claim without evidence.!!,0,0,0,0,0,0
syn_384,Please provide a reference.!!,0,0,0,0,0,0
syn_385,We need to follow community guidelines. 🙂?!,0,0,0,0,0,0
syn_386,What the **** are you saying?,1,0,1,0,0,0
syn_387,Can you elaborate on this issue? 🙄 Be respectful.!!,0,0,0,0,0,0
syn_388,That was a bull**** response. Only a fool would think that. Period.?!,1,0,1,0,1,0
syn_389,You are so dumb and clueless. 🙂,1,0,0,0,0,0
syn_390,That's a strong claim without evidence...,0,0,0,0,0,0
syn_391,Watch your back. Got it?.,1,0,0,1,0,0
syn_392,I completely disagree with your point...,0,0,0,0,0,0
syn_393,"Interesting idea, let's test it...",0,0,0,0,0,0
syn_394,Please provide a reference....,0,0,0,0,0,0
syn_395,I completely disagree with your point. 😡...,0,0,0,0,0,0
syn_396,Thanks for sharing the update.,0,0,0,0,0,0
syn_397,This is not accurate according to the report..,0,0,0,0,0,0
syn_398,Please provide a reference. 😡,0,0,0,0,0,0
syn_399,Please provide a reference. 😤!,0,0,0,0,0,0
syn_400,You better stop or else. 🙂 This again?!!!,0,0,0,1,0,0
syn_401,I completely disagree with your point. 🙄 You're kidding.,0,0,0,0,0,0
syn_402,That's a strong claim without evidence. 🤬!!!,0,0,0,0,0,0
syn_403,lawyers should not be allowed to decide this.,1,0,0,0,0,1
syn_404,Please provide a reference. 😂,0,0,0,0,0,0
syn_405,This is not accurate according to the report.,0,0,0,0,0,0
syn_406,This is not accurate according to the report.?!,0,0,0,0,0,0
syn_407,We need to follow community guidelines.!!!,0,0,0,0,0,0
syn_408,You don't deserve to be here.!!,1,1,0,0,0,0
syn_409,What a pathetic comment.?!,1,0,0,0,0,0
syn_410,We need to follow community guidelines. Period.!!!,0,0,0,0,0,0
syn_411,That's a strong claim without evidence. Enough already.,0,0,0,0,0,0
syn_412,Thanks for sharing the update.,0,0,0,0,0,0
syn_413,You're clueless and incompetent.,1,0,0,0,1,0
syn_414,Your logic is laughable.!!,1,0,0,0,0,0
syn_415,W3 n33d t0 f0ll0w c0mmun1ty gu1d3l1n35.,0,0,0,0,0,0
syn_416,Typical teachers behavior. Only a fool would think that. This again?,1,0,0,0,1,1
syn_417,I completely disagree with your point. Enough already.,0,0,0,0,0,0
syn_418,These developers always ruin discussions. This is **** ridiculous.!!,1,0,1,0,0,1
syn_419,Appreciate the clarification. Read the rules.?!,0,0,0,0,0,0
syn_420,"Interesting idea, let's test it. You're kidding.",0,0,0,0,0,0
syn_421,You sound completely uneducated.,0,0,0,0,1,0
syn_422,Shut up already.?!,1,0,0,0,0,0
syn_423,C4n y0u 3l4b0r4t3 0n th15 155u3? Read the rules.?!,0,0,0,0,0,0
syn_424,I completely disagree with your point.,0,0,0,0,0,0
syn_425,You don't deserve to be here. Read the rules.?!,1,1,0,0,0,0
syn_426,Can you elaborate on this issue?,0,0,0,0,0,0
syn_427,I completely disagree with your point.,0,0,0,0,0,0
syn_428,We need to follow community guidelines.,0,0,0,0,0,0
syn_429,That's a strong claim without evidence. Read the rules.,0,0,0,0,0,0
syn_430,This is idiotic. Got it?,1,0,0,0,0,0
